  Table 1. Flux (/m**2/yr) along the S/C orbit in 2016
       Spacecraft - perigee altitude (km), apogee altitude (km), inclination, argument of perigee:    400.0    400.0  51.60   -1.0
  ---> Positions outside LEO are not included here.

 pos  alt     lat   >10 um   >100 um  >1 mm    >1 cm    >10 cm   >1 m
  51  400.0    0.0 1.43E+03 3.56E+01 7.68E-02 4.07E-06 3.20E-07 1.78E-07
  52  400.0   -2.8 1.45E+03 3.67E+01 7.69E-02 4.04E-06 3.21E-07 1.81E-07
  53  400.0   -5.6 1.52E+03 3.59E+01 7.38E-02 3.85E-06 3.19E-07 1.75E-07
  54  400.0   -8.4 1.51E+03 3.57E+01 7.35E-02 3.85E-06 3.18E-07 1.75E-07
  55  400.0  -11.2 1.74E+03 4.28E+01 8.49E-02 4.06E-06 3.01E-07 1.58E-07
  56  400.0  -14.0 1.72E+03 4.24E+01 8.40E-02 4.03E-06 2.99E-07 1.56E-07
  57  400.0  -16.8 2.17E+03 5.47E+01 1.00E-01 4.32E-06 3.14E-07 1.69E-07
  58  400.0  -19.5 2.14E+03 5.40E+01 9.87E-02 4.29E-06 3.13E-07 1.68E-07
  59  400.0  -22.2 2.36E+03 6.56E+01 1.21E-01 5.24E-06 3.43E-07 1.90E-07
  60  400.0  -24.8 2.32E+03 6.43E+01 1.19E-01 5.19E-06 3.41E-07 1.88E-07
  61  400.0  -27.4 1.25E+03 2.87E+01 7.86E-02 5.39E-06 3.32E-07 1.72E-07
  62  400.0  -30.0 1.22E+03 2.80E+01 7.69E-02 5.34E-06 3.33E-07 1.73E-07
  63  400.0  -32.4 3.34E+02 6.81E+00 2.12E-02 3.53E-06 3.23E-07 1.65E-07
  64  400.0  -34.8 3.28E+02 6.62E+00 2.06E-02 3.54E-06 3.25E-07 1.66E-07
  65  400.0  -37.1 1.69E+02 3.49E+00 1.12E-02 3.27E-06 3.19E-07 1.54E-07
  66  400.0  -39.3 1.65E+02 3.36E+00 1.08E-02 3.27E-06 3.17E-07 1.52E-07
