 0.1000E-02 0.8810E+03
 0.1122E-02 0.7443E+03
 0.1259E-02 0.6286E+03
 0.1413E-02 0.5306E+03
 0.1585E-02 0.4476E+03
 0.1778E-02 0.3772E+03
 0.1995E-02 0.3175E+03
 0.2239E-02 0.2669E+03
 0.2512E-02 0.2240E+03
 0.2818E-02 0.1876E+03
 0.3162E-02 0.1568E+03
 0.3548E-02 0.1308E+03
 0.3981E-02 0.1087E+03
 0.4467E-02 0.9018E+02
 0.5012E-02 0.7456E+02
 0.5623E-02 0.6144E+02
 0.6310E-02 0.5045E+02
 0.7079E-02 0.4127E+02
 0.7943E-02 0.3362E+02
 0.8913E-02 0.2728E+02
 0.1000E-01 0.2203E+02
 0.1122E-01 0.1771E+02
 0.1259E-01 0.1415E+02
 0.1413E-01 0.1125E+02
 0.1585E-01 0.8876E+01
 0.1778E-01 0.6953E+01
 0.1995E-01 0.5402E+01
 0.2239E-01 0.4161E+01
 0.2512E-01 0.3174E+01
 0.2818E-01 0.2397E+01
 0.3162E-01 0.1791E+01
 0.3548E-01 0.1323E+01
 0.3981E-01 0.9650E+00
 0.4467E-01 0.6950E+00
 0.5012E-01 0.4938E+00
 0.5623E-01 0.3459E+00
 0.6310E-01 0.2387E+00
 0.7079E-01 0.1622E+00
 0.7943E-01 0.1084E+00
 0.8913E-01 0.7127E-01
 0.1000E+00 0.4603E-01
 0.1122E+00 0.2920E-01
 0.1259E+00 0.1823E-01
 0.1413E+00 0.1123E-01
 0.1585E+00 0.6844E-02
 0.1778E+00 0.4135E-02
 0.1995E+00 0.2483E-02
 0.2239E+00 0.1485E-02
 0.2512E+00 0.8876E-03
 0.2818E+00 0.5310E-03
 0.3162E+00 0.3188E-03
 0.3548E+00 0.1926E-03
 0.3981E+00 0.1173E-03
 0.4467E+00 0.7228E-04
 0.5012E+00 0.4512E-04
 0.5623E+00 0.2862E-04
 0.6310E+00 0.1848E-04
 0.7079E+00 0.1219E-04
 0.7943E+00 0.8226E-05
 0.8913E+00 0.5695E-05
 0.1000E+01 0.4055E-05
 0.1122E+01 0.2975E-05
 0.1259E+01 0.2246E-05
 0.1413E+01 0.1743E-05
 0.1585E+01 0.1388E-05
 0.1778E+01 0.1132E-05
 0.1995E+01 0.9446E-06
 0.2239E+01 0.8050E-06
 0.2512E+01 0.6995E-06
 0.2818E+01 0.6189E-06
 0.3162E+01 0.5566E-06
 0.3548E+01 0.5080E-06
 0.3981E+01 0.4699E-06
 0.4467E+01 0.4398E-06
 0.5012E+01 0.4158E-06
 0.5623E+01 0.3965E-06
 0.6310E+01 0.3807E-06
 0.7079E+01 0.3676E-06
 0.7943E+01 0.3563E-06
 0.8913E+01 0.3461E-06
 0.1000E+02 0.3365E-06
 0.1122E+02 0.3270E-06
 0.1259E+02 0.3175E-06
 0.1413E+02 0.3081E-06
 0.1585E+02 0.2987E-06
 0.1778E+02 0.2895E-06
 0.1995E+02 0.2803E-06
 0.2239E+02 0.2713E-06
 0.2512E+02 0.2625E-06
 0.2818E+02 0.2538E-06
 0.3162E+02 0.2453E-06
 0.3548E+02 0.2370E-06
 0.3981E+02 0.2289E-06
 0.4467E+02 0.2210E-06
 0.5012E+02 0.2133E-06
 0.5623E+02 0.2058E-06
 0.6310E+02 0.1985E-06
 0.7079E+02 0.1915E-06
 0.7943E+02 0.1847E-06
 0.8913E+02 0.1781E-06
 0.1000E+03 0.1718E-06
