S/C position, h(km), lon, lat:    1  400.0    0.0    0.0

S/C velocity components (km/s) in the local                system:
radial outward, E, N components:    0.000   4.764   6.011

Velocity distribution of debris particles at this location:
[Vangle: local E (0 deg) --> N (90 deg), etc.]

  size       Vmag       Vangle        %
 > 10 um    9-10 km/s     130       0.00000
 > 10 um    9-10 km/s     140       0.00000
 > 10 um    9-10 km/s     150       0.00000
 > 10 um    9-10 km/s     160       0.00000
 > 10 um    9-10 km/s     170       0.00000
 > 10 um    9-10 km/s     180       0.00000
 > 10 um    9-10 km/s     190       0.00000
 > 10 um    9-10 km/s     200       0.00000
 > 10 um    9-10 km/s     210       0.00000
 > 10 um    9-10 km/s     220       0.00000
 > 10 um    9-10 km/s     230       0.00000
 > 10 um    9-10 km/s     240       0.00000
 > 10 um    9-10 km/s     250       0.00000
 > 10 um    9-10 km/s     260       0.00081
 > 10 um    9-10 km/s     270       0.00000
 > 10 um    9-10 km/s     280       0.00000
 > 10 um    9-10 km/s     290       0.04700
 > 10 um    9-10 km/s     300       0.01266
 > 10 um    9-10 km/s     310       0.00002
 > 10 um    9-10 km/s     320       2.07129
 > 10 um    9-10 km/s     330      22.87133
 > 10 um    9-10 km/s     340       4.06731
 > 10 um    9-10 km/s     350       0.06321
 > 10 um   10-11 km/s       0       0.01645
 > 10 um   10-11 km/s      10       2.43872
 > 10 um   10-11 km/s      20       8.03612
 > 10 um   10-11 km/s      30       0.58284
 > 10 um   10-11 km/s      40       0.00000
 > 10 um   10-11 km/s      50       0.01190
 > 10 um   10-11 km/s      60       0.10833
 > 10 um   10-11 km/s      70       0.00774
 > 10 um   10-11 km/s      80       0.00000
 > 10 um   10-11 km/s      90       0.00000
 > 10 um   10-11 km/s     100       0.00000
 > 10 um   10-11 km/s     110       0.00000
 > 10 um   10-11 km/s     120       0.00000
 > 10 um   10-11 km/s     130       0.00000
 > 10 um   10-11 km/s     140       0.00000
 > 10 um   10-11 km/s     150       0.00000
 > 10 um   10-11 km/s     160       0.00000
 > 10 um   10-11 km/s     170       0.00000
 > 10 um   10-11 km/s     180       0.00000
 > 10 um   10-11 km/s     190       0.00000
 > 10 um   10-11 km/s     200       0.00000
 > 10 um   10-11 km/s     210       0.00000
 > 10 um   10-11 km/s     220       0.00000
 > 10 um   10-11 km/s     230       0.00000
 > 10 um   10-11 km/s     240       0.00000
 > 10 um   10-11 km/s     250       0.00000
 > 10 um   10-11 km/s     260       0.00000
 > 10 um   10-11 km/s     270       0.00000
 > 10 um   10-11 km/s     280       0.01086
 > 10 um   10-11 km/s     290       0.13641
 > 10 um   10-11 km/s     300       0.00605
 > 10 um   10-11 km/s     310       0.00000
 > 10 um   10-11 km/s     320       0.56565
 > 10 um   10-11 km/s     330       8.11382
 > 10 um   10-11 km/s     340       2.34962
 > 10 um   10-11 km/s     350       0.06559
 >100 um    6-7  km/s       0       0.00000
 >100 um    6-7  km/s      10       0.00000
 >100 um    6-7  km/s      20       0.00000
 >100 um    6-7  km/s      30       0.00000
 >100 um    6-7  km/s      40       0.00000
 >100 um    6-7  km/s      50       0.00000
 >100 um    6-7  km/s      60       0.00000
 >100 um    6-7  km/s      70       0.00000
 >100 um    6-7  km/s      80       0.00000
 >100 um    6-7  km/s      90       0.00000
 >100 um    6-7  km/s     100       0.00000
 >100 um    6-7  km/s     110       0.00000
 >100 um    6-7  km/s     120       0.00000
 >100 um    6-7  km/s     130       0.00000
 >100 um    6-7  km/s     140       0.00000
 >100 um    6-7  km/s     150       0.00000
 >100 um    6-7  km/s     160       0.00000
 >100 um    6-7  km/s     170       0.00000
 >100 um    6-7  km/s     180       0.00000
 >100 um    6-7  km/s     190       0.00000
 >100 um    6-7  km/s     200       0.00000
 >100 um    6-7  km/s     210       0.00000
 >100 um    6-7  km/s     220       0.00000
 >100 um    6-7  km/s     230       0.00000
 >100 um    6-7  km/s     240       0.00000
 >100 um    6-7  km/s     250       0.00000
 >100 um    6-7  km/s     260       0.00000
 >100 um    6-7  km/s     270       0.00000
 >100 um    6-7  km/s     280       0.00000
 >100 um    6-7  km/s     290       0.00000
 >100 um    6-7  km/s     300       0.00000
 >100 um    6-7  km/s     310       0.00000
 >100 um    6-7  km/s     320       0.00000
 >100 um    6-7  km/s     330       0.00000
 >100 um    6-7  km/s     340       0.00000
 >100 um    6-7  km/s     350       0.00000
 >100 um    7-8  km/s       0       0.00005
 >100 um    7-8  km/s      10       0.00000
 >100 um    7-8  km/s      20       0.21997
 >100 um    7-8  km/s      30       0.04599
 >100 um    7-8  km/s      40       0.00259
 >100 um    7-8  km/s      50       0.00003
 >100 um    7-8  km/s      60       0.01147
 >100 um    7-8  km/s      70       0.02725
 >100 um    7-8  km/s      80       0.31284
 >100 um    7-8  km/s      90       0.00496
 >100 um    7-8  km/s     100       0.00000
 >100 um    7-8  km/s     110       0.00000
 >100 um    7-8  km/s     120       0.00000
 >100 um    7-8  km/s     130       0.00000
 >100 um    7-8  km/s     140       0.00001
 >100 um    7-8  km/s     150       0.00000
 >100 um    7-8  km/s     160       0.00000
 >100 um    7-8  km/s     170       0.00000
 >100 um    7-8  km/s     180       0.00000
 >100 um    7-8  km/s     190       0.00000
 >100 um    7-8  km/s     200       0.00063
 >100 um    7-8  km/s     210       0.00027
 >100 um    7-8  km/s     220       0.00000
 >100 um    7-8  km/s     230       0.00000
 >100 um    7-8  km/s     240       0.00000
 >100 um    7-8  km/s     250       0.00009
 >100 um    7-8  km/s     260       0.00555
 >100 um    7-8  km/s     270       0.28783
 >100 um    7-8  km/s     280       0.29548
 >100 um    7-8  km/s     290       0.01296
 >100 um    7-8  km/s     300       0.00021
 >100 um    7-8  km/s     310       0.00001
 >100 um    7-8  km/s     320       0.12257
 >100 um    7-8  km/s     330       0.45047
 >100 um    7-8  km/s     340       0.00014
 >100 um    7-8  km/s     350       0.00000
 >100 um    8-9  km/s       0       0.00583
 >100 um    8-9  km/s      10       0.00000
 >100 um    8-9  km/s      20       6.71657
 >100 um    8-9  km/s      30       2.59473
 >100 um    8-9  km/s      40       0.00194
 >100 um    8-9  km/s      50       0.00095
 >100 um    8-9  km/s      60       0.00382
 >100 um    8-9  km/s      70       0.00000
 >100 um    8-9  km/s      80       0.00158
 >100 um    8-9  km/s      90       0.00001
 >100 um    8-9  km/s     100       0.00018
 >100 um    8-9  km/s     110       0.00000
 >100 um    8-9  km/s     120       0.00007
 >100 um    8-9  km/s     130       0.00000
 >100 um    8-9  km/s     140       0.00000
 >100 um    8-9  km/s     150       0.00000
 >100 um    8-9  km/s     160       0.00000
 >100 um    8-9  km/s     170       0.00000
 >100 um    8-9  km/s     180       0.00000
 >100 um    8-9  km/s     190       0.00000
 >100 um    8-9  km/s     200       0.00000
 >100 um    8-9  km/s     210       0.00000
 >100 um    8-9  km/s     220       0.00000
 >100 um    8-9  km/s     230       0.00002
 >100 um    8-9  km/s     240       0.00000
 >100 um    8-9  km/s     250       0.00011
 >100 um    8-9  km/s     260       0.00161
 >100 um    8-9  km/s     270       0.00021
 >100 um    8-9  km/s     280       0.00132
 >100 um    8-9  km/s     290       0.00248
 >100 um    8-9  km/s     300       0.00074
 >100 um    8-9  km/s     310       0.00000
 >100 um    8-9  km/s     320       4.61211
 >100 um    8-9  km/s     330      10.22868
 >100 um    8-9  km/s     340       0.00092
 >100 um    8-9  km/s     350       0.01202
 >100 um    9-10 km/s       0       0.14934
